1631013704375930;-33;7;47
1631013704407180;-28;6;51
1631013704438430;-17;7;58
1631013704469680;-17;6;57
1631013704500930;-17;3;62
1631013704532190;-13;-1;69
1631013704563440;-12;-3;69
1631013704594690;-16;-3;66
1631013704625940;-17;-4;64
1631013704657190;-24;0;64
1631013704688440;-27;2;59
1631013704719690;-28;2;58
1631013704750950;-27;3;59
1631013704782200;-25;3;59
1631013704813450;-24;3;61
1631013704844700;-24;3;60
1631013704875950;-26;2;58
1631013704907200;-26;3;58
1631013704938450;-27;3;60
1631013704969710;-26;3;61
1631013705000960;-23;2;58
1631013705032210;-23;0;60
1631013705063460;-26;0;64
1631013705094710;-28;3;62
1631013705125960;-30;4;55
1631013705157210;-32;5;55
1631013705188470;-30;6;55
1631013705219720;-31;6;55
1631013705250970;-30;6;55
1631013705282220;-32;5;57
1631013705313470;-31;6;57
1631013705344720;-30;7;56
1631013705375970;-33;7;56
1631013705407230;-34;8;56
1631013705438480;-37;11;54
1631013705469730;-38;11;50
1631013705500980;-35;10;49
1631013705532230;-35;9;46
1631013705563480;-40;6;48
1631013705594730;-41;2;44
1631013705625990;-44;2;47
1631013705657240;-41;4;49
1631013705688490;-43;9;48
1631013705719740;-45;11;47
1631013705750990;-43;11;50
1631013705782240;-40;13;52
1631013705813490;-38;10;52
1631013705844750;-36;9;53
1631013705876000;-35;9;55
1631013705907250;-35;10;54
1631013705938500;-35;10;54
1631013705969750;-33;9;54
1631013706001000;-34;9;53
1631013706032250;-35;9;53
1631013706063510;-34;10;54
1631013706094760;-32;10;54
1631013706126010;-36;11;55
1631013706157260;-35;14;57
1631013706188510;-35;13;56
1631013706219760;-35;13;50
1631013706251010;-38;13;49
1631013706282270;-38;13;51
1631013706313520;-39;13;48
1631013706344770;-39;13;47
1631013706376020;-40;13;50
1631013706407270;-37;13;52
1631013706438520;-35;12;52
1631013706469770;-32;11;54
1631013706501030;-32;11;55
1631013706532280;-32;10;55
1631013706563530;-33;11;54
1631013706594780;-33;11;54
1631013706626030;-34;11;53
1631013706657280;-33;12;54
1631013706688540;-32;12;54
1631013706719790;-31;11;56
1631013706751040;-31;11;56
1631013706782290;-30;10;57
1631013706813540;-30;10;56
1631013706844790;-30;10;56
1631013706876040;-30;11;56
1631013706907300;-30;12;56
1631013706938550;-30;12;56
1631013706969800;-29;11;56
1631013707001050;-29;10;56
1631013707032300;-29;11;56
1631013707063550;-29;11;58
1631013707094800;-30;11;57
1631013707126060;-28;10;57
1631013707157310;-29;11;56
1631013707188560;-29;10;56
1631013707219810;-29;10;56
1631013707251060;-30;11;57
1631013707282310;-30;11;57
1631013707313560;-29;10;56
1631013707344820;-30;11;55
1631013707376070;-30;11;56
1631013707407320;-30;10;56
1631013707438570;-30;10;57
1631013707469820;-28;11;57
1631013707501070;-29;11;57
1631013707532320;-29;11;56
1631013707563580;-30;11;56
1631013707594830;-30;11;57
1631013707626080;-30;11;56
1631013707657330;-29;12;57
1631013707688580;-29;12;58
1631013707719830;-31;10;58
1631013707751080;-32;10;55
1631013707782340;-32;10;55
1631013707813590;-32;9;53
1631013707844840;-32;11;52
1631013707876090;-33;12;53
1631013707907340;-36;11;54
1631013707938590;-35;10;53
1631013707969840;-34;10;54
1631013708001100;-34;10;54
1631013708032350;-33;10;56
1631013708063600;-33;10;55
1631013708094850;-34;10;55
